method,uk.ac.sheffield.com1003.cafe.TestCafe#testTask1Espresso2.txt,uk.ac.sheffield.com1003.cafe.TestCafe#testTooManyIngredients.txt,uk.ac.sheffield.com1003.cafe.TestCafeTask6_1#testSyrupContainsFlavourField.txt,uk.ac.sheffield.com1003.cafe.TestCafeBase#testMenuSize.txt,uk.ac.sheffield.com1003.cafe.TestCafe#printPendingOrders.txt,uk.ac.sheffield.com1003.cafe.TestCafe#testCafeOutOfCapacityExceptionExists.txt,uk.ac.sheffield.com1003.cafe.TestCafe#testTask1Espresso.txt,uk.ac.sheffield.com1003.cafe.TestCafe#placeOrderOutOfCapacity.txt,uk.ac.sheffield.com1003.cafe.TestCafe#cafeGreeting.txt,uk.ac.sheffield.com1003.cafe.TestCafeBase#cafeGreeting.txt,uk.ac.sheffield.com1003.cafe.TestCafeBase#printPendingOrders.txt,uk.ac.sheffield.com1003.cafe.TestCafeTask6_1#testSyrupExists.txt,uk.ac.sheffield.com1003.cafe.TestCafe#testAppClassExists.txt,uk.ac.sheffield.com1003.cafe.TestCafe#testSyrupContainsFlavourField.txt,uk.ac.sheffield.com1003.cafe.TestCafeBase#placeOrderOutOfCapacity.txt,uk.ac.sheffield.com1003.cafe.TestCafeBase#testPrintMenu.txt,uk.ac.sheffield.com1003.cafe.TestCafeBase#testTooManyIngredients.txt,uk.ac.sheffield.com1003.cafe.TestCafe#testRecipeNotFoundExceptionExists.txt,uk.ac.sheffield.com1003.cafe.TestCafe#testPrintMenu.txt,uk.ac.sheffield.com1003.cafe.TestCafeBase#testAppClassExists.txt,uk.ac.sheffield.com1003.cafe.TestCafeBase#printReceipt.txt,uk.ac.sheffield.com1003.cafe.TestCafe#testMenuSize.txt,uk.ac.sheffield.com1003.cafe.TestCafe#testSyrupExists.txt
uk.ac.sheffield.com1003.cafe.Recipe.addIngredient,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0
uk.ac.sheffield.com1003.cafe.ingredients.Ingredient.equals,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0
uk.ac.sheffield.com1003.cafe.Cafe.greeting,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
uk.ac.sheffield.com1003.cafe.Cafe.getName,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
uk.ac.sheffield.com1003.cafe.Cafe.removeRecipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk.ac.sheffield.com1003.cafe.Cafe.printPendingOrders,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uk.ac.sheffield.com1003.cafe.Cafe.printMenu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
uk.ac.sheffield.com1003.cafe.Cafe.placeOrder,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
uk.ac.sheffield.com1003.cafe.Cafe.findRecipe,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
uk.ac.sheffield.com1003.cafe.Recipe.getPrice,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
uk.ac.sheffield.com1003.cafe.Cafe.serveOrder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
uk.ac.sheffield.com1003.cafe.Order.serve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk.ac.sheffield.com1003.cafe.App.main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk.ac.sheffield.com1003.cafe.Cafe.addRecipe,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0
uk.ac.sheffield.com1003.cafe.Order.printReceipt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk.ac.sheffield.com1003.cafe.Order.toString,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk.ac.sheffield.com1003.cafe.Recipe.getName,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
